city_name,pop2011,Lat,Long,pop2001
Colombo,555152,6.9319444,79.847778,647100
Dehiwala-Mount Lavinia,182747,6.85,79.87,210546
Kaduwela,252100,6.935555556,79.98388889,287394
Moratuwa,167255,6.7733333,79.8825,177563
Sri Jayawardenepura,107144,6.883201,79.906982,116366
Gampaha,61822,7.1,80,57461
Negombo,141997,7.2086111,79.835833,121701
Jaffna,81055,9.67,80.01,106039
Kandy,98249,7.2963889,80.635,109343
Dambulla,23767,7.85,80.65,23767
Matale,36145,7.47,80.62,36451
Nuwara Eliya,23784,6.98,80.77,25388
Kalmunai,99634,7.4166667,81.8166667,94579
Batticaloa,86026,7.724302,81.698499,80313
Anuradhapura,50703,8.3148129,80.4149319,53151
Kurunegala,24688,7.4833333,80.3666667,28401
Galle,85889,6.0329299,80.2156612,90270
Hambantota,23090,6.13,81.12,23090
Matara,73652,5.949305,80.535347,76254
Ratnapura,46175,6.7,80.38,46183
Akkaraipatu,30988,7.22,81.85,30988
Badulla,42080,6.99,81.05,41005
Bandarawela,24060,6.83,80.98,24060
Ambalangoda,19982,6.24,80.06,19720
Ampara,22454,7.28,81.67,17957
Avissawella,30169,6.95,80.22,21597
Beruwala,37772,6.48,79.98,33053
Chavakachcheri,16086,9.66,80.16,14780
Chilaw,21484,7.58,79.8,24105
Gampola,37684,7.17,80.57,24283
Hambantota,23090,6.13,81.12,11134
Ja-Ela,31108,7.08,79.88,30910
Kalutara,32273,6.59,79.96,37451
Kattankudy,40237,7.69,81.73,34749
Katunayake,60276,7.18,79.87,73316
Kegalle,15941,7.25,80.35,17139
Kilinochchi,,9.4,80.4,17162
Kinniya,36600,8.483333,81.183333,36600
Kolonnawa,59802,6.93,79.88,55341
Mannar,24414,8.98,79.9,13520
Moneragala,,6.87,81.35,6833
Mullaitivu,,9.27,80.82,7200
Panadura,29937,6.71,79.9,33432
Peliyagoda,27434,6.95,79.9,29880
Point Pedro,12307,9.82,80.23,12307
Polonnaruwa,,7.93,81,5900
Puttalam,45226,8.03,79.82,41761
Trincomalee,48093,8.58,81.22,55410
Valvettithurai,8265,9.82,80.17,8265
Vavuniya,34789,8.76,80.49,53143
Wattala-Mabola,27944,6.97,79.89,28852
Weligama,22286,5.98,80.42,21783
Maharagama,195251,6.85,79.933,195251
Kesbewa,184359,6.795278,79.938611,184359
Boralasgamuwa,59483,6.85,79.9,59483
Minuwangoda,7539,7.1733,79.9619,7539
Horana,9637,6.7167,80.05,9637
Kadugannawa,12585,7.2536,80.5275,12585
Nawalapitiya,13286,7.05,80.5333,13286
Wattegama ,8145,7.3503,80.6825,8145
Hatton-Dikoya,14690,6.866667,80.6,14690
Thalawakele-Lindula,4665,6.9333,80.65,4665
Hikkaduwa,27013,6.1472,80.1103,27013
Tangalle,8422,6.0167,80.7833,8422
Eravur,24584,7.7667,81.6,24584
Kuliyapitiya,5581,7.4706,80.0456,5581
Haputale,5247,6.7678,80.9586,5247
Balangoda,16652,6.65,80.6833,16652
Embilipitiya,35917,6.3439,80.8489,35917
